rate,votes,location,rest_type,dish_liked,cuisines
4.3/5,1133,Infantry Road,Cafe,Burgers Pasta Cheesy Fries Beef Burger Ice Tea Steak Burger Lamb,Cafe Fast Food Burger
3.8/5,96,Ulsoor,Cafe,Bannoffee Pie Pasta Sandwiches Salsa Sandwich Salads Pita Bread,Cafe Continental Salad
4.0/5,195,MG Road,Lounge Bar,Cocktails Mai Thai Pizza Lemon Basil Chicken,North Indian Mediterranean Chinese
4.1/5,118,Richmond Road,Casual Dining,Cosmopolitan Salads Chaat Coffee Biryani Dal Makhani Butter Chicken,Continental Asian Italian
3.7/5,52,Richmond Road,Casual Dining,Filter Coffee Tea,North Indian South Indian Chinese
3.8/5,37,Ulsoor,Casual Dining,Churros Empanadas,Beverages Cafe Desserts Spanish Bakery
3.8/5,81,Ulsoor,Casual Dining,Noodles,Chinese Thai
3.6/5,277,St. Marks Road,Casual Dining Bar,Murgh Ghee Roast Veg Thali Chicken Chettinad Chicken Kshatriya Mutton Chops Hyderabadi Biryani Roti,Andhra Chinese North Indian
3.6/5,42,Ulsoor,Casual Dining,Thali Pongal Masala Dosa,South Indian North Indian Chinese Street Food Fast Food
3.8/5,262,Richmond Road,Casual Dining,Manchurian Noodles Basil Chicken Chop Suey Triple Schezwan Dragon Chicken Schezwan Rice,Chinese Thai
3.0/5,108,MG Road,Casual Dining,Gulab Jamun,North Indian Continental Chinese
3.7/5,145,Richmond Road,Casual Dining Cafe,Breakfast Buffet Omelette Lunch Buffet Pasta,Chinese North Indian Cafe
3.9/5,122,Brigade Road,Casual Dining,Chicken Manchurian Thukpa Chicken Momo Veg Momos Tea Veg Thupka,Japanese Chinese Tibetan Momos
3.9/5,158,Infantry Road,Casual Dining,Noodles Lunch Buffet Fish Manchurian Salads Salad,Chinese Thai Indonesian
3.8/5,198,MG Road,Casual Dining,Mutton Biryani Salads Fish Sandwiches Breakfast Buffet Cheesecake,Italian European
4.2/5,271,MG Road,Fine Dining,Salads Brownie Cheesecake Salad Biryani Dal Makhani Pizza,Italian North Indian
3.4/5,122,Residency Road,Cafe,Coffee Fries Cappuccino Margherita Pizza,Cafe Beverages Fast Food
4.2/5,115,Ulsoor,Casual Dining Cafe,Coffee Pasta Tea,Lebanese Mediterranean Cafe
3.8/5,108,Ulsoor,Bar,Pepper Prawns Fries Chicken Biryani,North Indian Chinese
3.7/5,57,St. Marks Road,Casual Dining,Lunch Buffet Kheer Rajasthani Thali,North Indian Chinese
4.3/5,164,Richmond Road,Fine Dining,Tiramisu Bruschettas Salmon Chocolate Dessert King Prawns Wine Scallops,Italian Salad
3.8/5,67,Richmond Road,Casual Dining,Buttermilk Thali Breakfast Buffet Vada Pongal,South Indian
3.9/5,106,Brigade Road,Casual Dining,Salads Jalebi Pasta Rabri Fish Curry Salad Mysore Pak,Chinese North Indian Pizza
4.0/5,97,Ulsoor,Lounge,Cocktails,Finger Food Continental Chinese
3.7/5,125,Brigade Road,Casual Dining,Noodles Pork Chops Momos Chicken Noodle Mixed Fried Rice Corn Soup Roast Pork,Chinese Thai Momos
4.2/5,258,MG Road,Casual Dining Bar,Cocktails Tom Yum Soup Lobster Bisque Lobster Risotto Pulled Pork Lamb Asparagus Risotto,Thai Continental North Indian
4.0/5,209,Residency Road,Casual Dining,Spring Roll Chicken Lollipop Chaap Momos Lamb Chicken Manchow Soup Hakka Noodles,Chinese Momos
2.2/5,406,MG Road,Casual Dining,Nachos Pizza Margarita Mushroom Soup Tacos Tortilla Soup Chicken Burritos,Mexican
3.9/5,40,Brigade Road,Casual Dining,Momos,Chinese Tibetan Momos
3.6/5,104,Brigade Road,Cafe,Burgers Sandwiches Fries Pasta Tea Chicken Curry Fried Rice,Cafe Continental Italian
3.9/5,96,Brigade Road,Casual Dining Bar,Balti Gosht Cocktails Dal Makhani,Mughlai North Indian Desserts
3.9/5,119,Infantry Road,Casual Dining Bar,Sea Food Neer Dosa Crab Masala Fish Crab Soup Masala Prawn Wine,Seafood North Indian Chinese
3.8/5,52,Richmond Road,Casual Dining,Noodles Fish,North Indian Continental Italian
3.7/5,32,Commercial Street,Casual Dining,Biryani,North Indian Fast Food Street Food
4.0/5,133,Residency Road,Beverage Shop Quick Bites,Banana Cake Ginger Tea Masala Chai Samosa Ginger Chai Poha Egg Puff,Tea Beverages Fast Food
2.2/5,48,Residency Road,Casual Dining,Appam Thali,Kerala Seafood
3.4/5,10,MG Road,Quick Bites,Garlic Naan Tandoori Chicken Basmati Rice,North Indian Chinese Biryani
3.6/5,118,Richmond Road,Casual Dining,Chicken Lollipop Crispy Spinach Chicken,Chinese
3.7/5,68,Brigade Road,Casual Dining,Biryani Tea Rice Appam,South Indian North Indian
4.1/5,125,MG Road,Casual Dining Cafe,Waffles Sandwiches Nachos Burgers Chicken Keema Pizza Penne Pasta Smoothie Bowl,Continental Cafe Desserts Pizza North Indian Chinese Ice Cream
3.8/5,217,Lavelle Road,Casual Dining,Pasta Salads Mousse Brownie Chicken Sandwich Fish Grill Lunch Buffet,Italian Chinese Continental North Indian Seafood Thai
3.8/5,260,MG Road,Cafe,Coffee Sandwiches Blueberry Muffin Pancakes Espresso Cappuccino Cheesecake,Cafe
3.7/5,82,MG Road,Fine Dining,Pasta Pizza Wine Tiramisu Spaghetti Salad Ravioli,Italian
4.1/5,121,Richmond Road,Casual Dining,Butter Chicken Jeera Rice Dal Makhani Butter Naan Tandoori Chicken Rumali Roti Panneer Butter Masala,North Indian Chinese
4.0/5,868,Lavelle Road,Quick Bites,Chole Tea Filter Coffee Vada Upma Butter Masala Dosa Idli,South Indian North Indian Street Food
4.4/5,1093,Lavelle Road,Bakery Cafe,Pizza Coffee Pasta Tiramisu Cheesecake Hot Chocolate Pie,Bakery Cafe Italian Desserts
4.1/5,1079,Brigade Road,Quick Bites Dessert Parlor,Burgers Coffee Chocolate Donut Bagel Chocolate Drink Dunkaccinos Hot Chocolate,Burger Desserts Fast Food
4.1/5,358,Richmond Road,Quick Bites,Beef Biryani Chicken Biryani Chicken Kebab Mutton Biryani Beef Kabab Paratha Ghee Rice,North Indian Biryani
3.6/5,223,Commercial Street,Quick Bites,Gulab Jamun Chaat Jalebi Samosa Chole Sev Puri Rasgulla,Street Food Mithai
4.5/5,174,Richmond Road,Quick Bites,Rolls Beef Kabab Seekh Kebab Seekh Roll,North Indian Rolls
3.9/5,104,Ulsoor,Quick Bites,Lassi Amritsari Kulcha Chole,North Indian
4.4/5,223,MG Road,Quick Bites,Burgers Salad Mocktails Pasta Arrabiata Fries Nutella Cheesecake Teriyaki Chicken Wings,Burger Continental Italian Beverages
4.1/5,274,Richmond Road,Quick Bites,Masala Dosa Idli Kali Dosa Ghee Khali Dosa Tomato Rice Set Dosa Ghee Rice,South Indian
4.0/5,1445,MG Road,Dessert Parlor Cafe,Butterscotch Ice Cream Sandwiches Milk Shake Brownie Hot Chocolate Fudge Vanilla Ice Cream Burgers,Desserts Cafe Fast Food
4.0/5,101,St. Marks Road,Quick Bites,Sandwiches Fruit Bowl Panipuri Corn Sandwich Palak Paneer Arabian Grape Juice Cheesy Grilled Sandwich,Juices Fast Food
4.0/5,103,Richmond Road,Quick Bites,Chicken Curry Biryani Chilli Chicken Fry Prawns Chicken Kebab,Andhra South Indian
4.3/5,285,St. Marks Road,Quick Bites,Burgers Fries Peri Peri Chicken Nachos Wings Rolls Tandoori Burger,Burger Turkish Arabian Fast Food Salad Healthy Food Desserts
4.1/5,205,Ulsoor,Quick Bites,Coffee Roti Vada Pav,South Indian North Indian Chinese Juices
4.0/5,89,Infantry Road,Quick Bites,Akki Rottis Rumali Roti Masala Dosa Vada Raagi Roti Rava Idli Coffee,South Indian Chinese Street Food Juices
3.8/5,192,Brigade Road,Quick Bites,Burgers Ginger Chicken Virgin Mojito Popcorn Rice Bowl,Burger Fast Food
3.9/5,117,MG Road,Quick Bites,Pizza Garlic Bread,Pizza Fast Food
4.0/5,787,Richmond Road,Quick Bites,Rolls Shawarma Beef Roll Chicken Shawarama Beef Shwarma Haleem Chicken Roll,Arabian Biryani Rolls Kebab
2.7/5,77,MG Road,Quick Bites,Burgers Biryani Cheesecake,North Indian Chinese Fast Food
3.9/5,75,Commercial Street,Quick Bites,Filter Coffee Idli,South Indian
3.6/5,52,Richmond Road,Bakery Quick Bites,Plum Cake,Bakery Fast Food
3.9/5,55,St. Marks Road,Quick Bites,Chilli Chicken,Biryani Fast Food
4.1/5,159,St. Marks Road,Quick Bites,Paratha Paneer Pakora Chole Bhature Rajma Chawal Chaach Lassi Buttermilk,North Indian Street Food
3.8/5,106,Residency Road,Quick Bites,Vada Idli Kharabath Noodles Filter Coffee,South Indian Chinese
4.0/5,78,Commercial Street,Quick Bites Beverage Shop,Sandwiches Rose Faluda Pizza Custard Apple Cream Pav Bhaji,Fast Food Pizza Rolls Beverages Juices
3.6/5,79,Residency Road,Quick Bites,Donne Chicken Biryani Akki Rottis Roti Mutton Chops Chicken Curry Vada Coffee,South Indian Biryani
3.9/5,454,Residency Road,Quick Bites,Hariyali Chicken Rice Kheer Chicken Kebab Chicken Biryani Firewood Biryani Mutton Biryani Badam Phirni,Biryani Kebab Rolls
3.0/5,33,Commercial Street,Quick Bites,Pav Bhaji Panipuri Chaat,South Indian Chinese North Indian
3.9/5,65,Brigade Road,Quick Bites Bakery,Burgers Sandwiches Momos Chicken Seekh Roll Sandwich,Fast Food Bakery
3.2/5,57,Lavelle Road,Quick Bites,Sea Food Fish Fry Fish Curry Fish Kebab Buttermilk Fry Prawns Ragi Mudde,Seafood Mangalorean
4.0/5,336,Brigade Road,Quick Bites,Thukpa Vegetable Noodles Steam Chicken Momos Chowmein Chicken Shaptra Chicken Manchurian Dumplings,Tibetan Chinese Momos
3.9/5,115,MG Road,Quick Bites,Burgers French Fries Maharaja Chicken Burger Mc Flurry,Burger Fast Food
3.9/5,76,MG Road,Quick Bites,Masala Dosa Filter Coffee Vada Akki Rottis Rava Dosa,South Indian
3.9/5,645,Commercial Street,Quick Bites,Burgers Chicken Tandoori Grill Burger Cheesy Chicken Fries Chicken Whopper Whopper Burger Tandoor Chicken Burger Mutton Whopper,Burger Fast Food Beverages
3.9/5,107,Lavelle Road,Quick Bites,Salad Salads Sandwiches,Salad Fast Food
3.7/5,70,Ulsoor,Quick Bites,Rolls Beda Roti Afghan Chicken Reshmi Kebab Chicken Tikka Roll,Rolls North Indian Fast Food
3.7/5,161,St. Marks Road,Quick Bites,Mutton Biryani Chilli Chicken Pepper Chicken Chicken Fry Donne Chicken Biryani Chicken Guntur Chicken Kebab,Biryani
4.2/5,93,Brigade Road,Quick Bites,Filter Coffee Kesari Bath Curd Rice Idli Vada Crispy Masala Dosa Masala Tea Thick Coconut Chutney,South Indian Chinese
3.9/5,252,Residency Road,Quick Bites,Rolls Veggie Wrap Chicken Wrap Paneer Wrap Chole Dal Makhani Jal-jeera,North Indian Biryani Fast Food
4.1/5,399,Shivajinagar,Quick Bites,Gobhi Pakoda Bajji Raita Ginger Tea Jalapeno Cheese Poppers Mojito Chai,North Indian Beverages Fast Food
3.4/5,8,Brigade Road,Quick Bites,Tandoori Chicken Butter Chicken Garlic Naan,North Indian
3.8/5,38,Commercial Street,Quick Bites,Pav Bhaji Chaat Masala Poori Panipuri Dahipuri Sev Puri Sandwiches,Chinese Beverages Street Food
3.8/5,41,Residency Road,Quick Bites,Samosa Tea,Beverages
3.2/5,46,Ulsoor,Quick Bites,Dal Makhani,North Indian
3.8/5,113,Residency Road,Dessert Parlor,Chocolate Mousse Pasta Chocolate Cake Lemon Tarts Veg Burger,Continental Fast Food Beverages Desserts
4.7/5,4677,Cunningham Road,Pub Cafe,Crispy Corn Sangria Chicken Satay Masala Fries Wood Fire Pizza Pesto Pasta Cocktails,North Indian Thai Japanese Continental Cafe
4.2/5,478,Shanti Nagar,Casual Dining,Pasta Coffee Chaat Paneer Pizza Tawa Pulav Aloo Biryani Paratha,Modern Indian North Indian Pizza Continental Beverages
4.4/5,2266,Vasanth Nagar,Casual Dining,Steak Chicken Wings Burgers Bacon Burger Cocktails Lime Soda Chicken Burger,American Continental Steak
4.1/5,614,Cunningham Road,Casual Dining,Pasta Bamboo Biryani Noodles Chicken Guntur Andhra Meal Andhra Style Biryani Babycorn Manchurian,Andhra Biryani Chinese North Indian Seafood South Indian
4.3/5,519,Shanti Nagar,Casual Dining,Sushi Miso Soup Steak Tea Ramen Rolls Tempura,Japanese
4.5/5,1623,Cunningham Road,Casual Dining,Pasta Pizza Garlic Bread Wine Salad Salads Ravioli,Italian Pizza Salad
4.1/5,484,Race Course Road,Casual Dining,Masala Dosa Aloo Palya Biryani Vada Sambar Badam Halwa Filter Coffee Idli,South Indian North Indian
4.4/5,514,Race Course Road,Fine Dining,Mocktails Jasmine Rice Chicken Curry Noodles Pho Caramelized Bananas Prawn,Vietnamese
4.3/5,655,Cunningham Road,Cafe Dessert Parlor,Cappuccino Eclair Pizza Coffee Blueberry Cheesecake Oreo Cheesecake Tiramisu,Cafe Desserts
4.1/5,339,Race Course Road,Fine Dining,Sunday Brunch Pasta Shawarma Breakfast Buffet Lamb Lunch Buffet Pizza,Italian North Indian Lebanese
4.2/5,133,Cunningham Road,Casual Dining,Naan Phirni Sheermal Rasmalai Chicken Tikka Paneer Tikka Galauti Kebab,Awadhi Bengali North Indian
4.0/5,324,Cunningham Road,Lounge,Gulab Jamun Sea Food Bruschettas Paneer Tikka Gajar Halwa Shahi Tukda Biryani,North Indian Mughlai Mediterranean
4.2/5,552,Shanti Nagar,Casual Dining,Fish Dumplings Biryani Paneer Tikka Masala Manchow Soup Chicken Wings Chop Suey,Chinese North Indian Biryani Kebab
4.1/5,153,Vasanth Nagar,Cafe,Burgers Peri Peri Fries Exotic Pizza Sandwiches Veggie Pizza White Sauce Pasta French Fries,Cafe Italian
4.4/5,309,Race Course Road,Fine Dining,Chocolate Cake Wine Meat Curry Dal Makhani Tamarind Sorbet Mutton Biryani Kulfi,North Indian South Indian
4.2/5,475,Cunningham Road,Casual Dining,Lamb Curry Cocktails Neer Dosa Veg Starter Prawn Ghee Roast Chicken Biryani Mocktails,North Indian Chinese Seafood
4.3/5,860,Cunningham Road,Casual Dining Cafe,Tea Momos Tiramisu Sandwiches Pesto Pasta Sandwich Chips,Continental Cafe Desserts Salad Momos
4.0/5,113,Race Course Road,Lounge,Cocktails Beer Spring Roll,Continental
4.2/5,740,Cunningham Road,Cafe,Sandwiches Lemonade Nachos Mozzarella Sticks Fries Pasta Pizza,Cafe Continental Italian Burger
3.9/5,169,Frazer Town,Casual Dining,Shawarma Al Faham Chicken,Arabian Chinese Fast Food
4.0/5,378,Cunningham Road,Casual Dining,Palak Soup Mushroom Masala Dal Makhani Kebab Platter Jal-jeera Mushroom Soup Roti,North Indian Chinese Healthy Food
3.9/5,430,Frazer Town,Casual Dining,Chicken Grill Chicken Biryani Rolls Ghee Rice Tandoori Chicken Seekh Roll Chicken Lollipop,Mughlai Kebab Chinese
4.1/5,391,Cunningham Road,Casual Dining,Mudpie Butter Naan Mutton Biryani Kulfi Steak Sweet Corn Soup Beef Chilli,Chinese Continental North Indian Mughlai Steak
3.8/5,207,Cunningham Road,Casual Dining,Thali Filter Coffee Vada Rava Idli Masala Dosa Stuffed Kulcha Naan,South Indian North Indian Chinese Street Food
3.7/5,161,Cunningham Road,Casual Dining,Noodles Phad Thai Sweet Corn Soup Chop Suey,Chinese Thai
4.0/5,456,Cunningham Road,Casual Dining,Crab Soup Noodles Wine Spicy Crabmeat Soup Manchow Soup Momos Sea Food,Chinese Thai
4.1/5,211,Frazer Town,Bakery Quick Bites,Plum Cake Burgers Sandwiches Donut Mutton Samosa Sponge Cake Baked Bread,Bakery Fast Food
3.9/5,255,Frazer Town,Casual Dining,Biryani Shawarma Kunafa Pita Bread Fattoush Salad,Mediterranean Arabian Lebanese
4.1/5,402,Cunningham Road,Casual Dining,Laham Mandi Mutton Chops Biryani Mutton Soup Naan Paneer Tikka Jeera Rice,North Indian Mughlai Arabian Chinese
2.8/5,109,Shanti Nagar,Casual Dining,Thukpa Hakka Noodles,Chinese Tibetan
3.3/5,200,Cunningham Road,Casual Dining,Noodles Honey Chilli Chicken Crispy Chilli Chicken,Chinese
3.9/5,297,Shanti Nagar,Cafe,Hot Chocolate Sandwiches Garden Pizza Pasta Cappuccino Garlic Bread Sunday Morning Breakfast,Cafe Italian
3.8/5,91,Cunningham Road,Casual Dining,Salads Biryani Chicken Salad Lunch Buffet Breakfast Buffet Fish Panipuri,North Indian South Indian Chinese Continental
3.8/5,73,Shanti Nagar,Bar,Beer,Continental North Indian Chinese
3.7/5,42,Race Course Road,Casual Dining,Thali Chicken Biryani,Chinese South Indian North Indian
3.8/5,102,Race Course Road,Casual Dining,Friendly Staff,South Indian Continental North Indian
2.6/5,308,Shanti Nagar,Casual Dining,Mutton Biryani Shawarma Mutton Chops Pahadi Kebab Chicken Kebab Mango Shake Rolls,Mughlai North Indian Chinese
4.0/5,107,Cunningham Road,Quick Bites,Biryani Buttermilk Mutton Curry Thali Mutton Fry,Maharashtrian North Indian
4.5/5,203,City Market,Quick Bites,Masala Dosa Khali Dosa Kali Dosa Gini Dosa Idli Potato Masala Coffee,South Indian
3.9/5,134,Vasanth Nagar,Casual Dining,Tender Coconut Chicken Sea Food Paneer Pakora Chicken Biryani Kori Roti Fish Fry Beer,Seafood North Indian Chinese
3.5/5,126,Frazer Town,Casual Dining,Noodles Dragon Chicken Chop Suey,Chinese Momos
3.7/5,75,Frazer Town,Quick Bites,Sandwiches Tea Masala Chai Pasta Maggi Sandwich Chicken Burger,North Indian
3.3/5,261,Shanti Nagar,Casual Dining,Biryani Butter Chicken Butter Naan Kalmi Kebab Roti Rolls Fried Rice,North Indian Chinese
3.9/5,169,Frazer Town,Quick Bites,Rolls Biryani Butter Chicken Chicken Manchurian Roll,North Indian Mughlai Rolls Fast Food
3.2/5,41,City Market,Quick Bites,Vada,South Indian Street Food Chinese Fast Food
4.0/5,53,Cunningham Road,Quick Bites,Nachos California Burrito Rice Bowl Salads,Mexican Fast Food
4.0/5,44,Vasanth Nagar,Cafe,Waffles Burgers Fish,Cafe Modern Indian Pizza Burger Desserts
3.6/5,82,Shanti Nagar,Casual Dining,Mutton Biryani Noodles Butter Chicken Naan Panneer Butter Masala,North Indian Chinese
3.9/5,49,Frazer Town,Quick Bites,Veg Momos Honey Chilli Potatoes,Fast Food Momos
2.7/5,52,Frazer Town,Casual Dining,Masala Dosa Coffee,South Indian North Indian Fast Food
3.8/5,169,Shanti Nagar,Quick Bites,Coffee Paratha Chaat Masala Dosa Dahipuri Pav Bhaji Tea,North Indian South Indian
3.8/5,89,Frazer Town,Quick Bites,Rolls Fries Egg Roll,Fast Food Rolls Momos
2.9/5,46,Shanti Nagar,Casual Dining,Biryani Mutton Chops,South Indian North Indian Fast Food
4.2/5,255,Vasanth Nagar,Cafe,Peri Peri Chicken Shikanji Peri Peri Pizza Burgers Steak Bun Maskas Pasta,Cafe Continental Fast Food
3.9/5,158,Cunningham Road,Casual Dining,Fish Peas Pulao Naan Kulcha,North Indian South Indian Italian Continental
3.9/5,146,Cunningham Road,Quick Bites,Nachos Pasta Del Barone Cheesy Garlic Bread Thin Crust Pizza Oreo Milkshake Tortilla Chips Manali Pizza,Pizza Italian
2.8/5,142,Frazer Town,Bakery Quick Bites,Coffee Pasta Sandwiches Sunday Breakfast Apple Pie Hot Chocolate Chicken Quiche,Bakery Desserts
4.4/5,194,Residency Road,Bar Casual Dining,Cocktails Sangria Butter Chicken Corn Fritters Paneer Steak Chicken Steak Palak Paneer,Asian Burger Chinese Finger Food
4.4/5,264,Brigade Road,Microbrewery Casual Dining,Cocktails Pizza Mocktails Sweet Yogurt Nachos Karela Chaat Burgers,Asian Continental European North Indian
4.0/5,2112,Brigade Road,Club,Salads Chicken Bbq Wings Sandwiches Pasta Biryani Pizza Cocktails,Chinese Continental North Indian Burger Pizza
4.3/5,1708,Church Street,Lounge,Masala Peanuts Cocktails Paratha Pizza Pasta Burgers Brownie,Continental Mediterranean European
4.3/5,2244,Church Street,Bar Casual Dining,Peri Peri Chicken Burgers Cocktails Beef Steak Draught Beer Chicken Sandwich Peri Fries,Finger Food Continental
4.2/5,1289,Church Street,Pub,Cocktails Bruschettas Beer Tiramisu Brownie Chicken Popcorn Nachos,Continental Italian Burger
3.9/5,681,Church Street,Casual Dining Bar,Beer Pepper Chicken Prawn Curry Appam Fry Prawns Chicken Chettinad Idiyappam,South Indian Chettinad Kerala Seafood
4.0/5,933,Church Street,Casual Dining Bar,Burgers Mocktails Pasta Cocktails Beef Steak Lunch Buffet Chicken Steak,American Continental Steak Salad
3.9/5,746,Church Street,Pub,Beer Butter Garlic Prawns Potato Wedges Nachos Pasta Cocktails Burgers,Finger Food Continental Asian North Indian
4.4/5,4582,MG Road,Lounge,Cocktails Lasagne Martini Mocktails Mutton Pepper Long Island Iced Tea Mojito,Asian North Indian Thai
4.2/5,3119,Lavelle Road,Lounge,Cocktails Long Island Iced Tea Mojito Peri Peri Chicken Mocktails Chicken Satay Beer,Continental
4.7/5,3920,Residency Road,Microbrewery Casual Dining,Pizza Cocktails Peri Peri Chicken Mocktails Craft Beer Pasta Nachos,Continental BBQ Salad
4.5/5,8382,Brigade Road,Pub Microbrewery,Kamikaze Long Island Iced Tea Pizza Hefeweizen Craft Beer Cocktails Belgian Brew Beer,American Continental Salad
4.4/5,864,Lavelle Road,Fine Dining,Cocktails Sushi Salmon Martini Tempura Prawns Chicken Gyoza Ramen,Asian Japanese Thai
4.4/5,2229,Lavelle Road,Fine Dining Lounge,Sushi Dumplings Sea Food Chocolate Volcano Lamb Sunday Brunch Chicken Yakitori,Japanese Asian
4.5/5,5265,St. Marks Road,Casual Dining Bar,Burgers Cocktails Legendary Hrc Burger Nachos Sandwiches Bloody Mary Mocktails,American BBQ
4.4/5,2395,Lavelle Road,Casual Dining Microbrewery,Appletini Lamb Tacos Cocktails Martini Stout Wheat Beer Sangria,Modern Indian
4.5/5,1576,Brigade Road,Casual Dining Bar,Cocktails Chicken Curry Beer Watermelon Mojito Bbq Mushroom Kokum Sharbat Brain Fry,South Indian
4.2/5,2213,Residency Road,Microbrewery Lounge,Spaghetti Wheat Beer Cocktails Risotto Nachos Gourmet Pizza Draught Beer,Continental Italian
4.6/5,1217,St. Marks Road,Casual Dining Bar,Sushi Dumplings Khau Suey Noodles Cocktails Virgin Mojito Drunken Beef,Asian Japanese Korean Indonesian Malaysian Singaporean
4.3/5,609,St. Marks Road,Pub Casual Dining,Sangria Chole Cocktails Pizza Nachos Noodles Fish,Continental Chinese North Indian Finger Food
4.3/5,3485,Lavelle Road,Pub Microbrewery,Wheat Beer Pizza Cocktails Virgin Sangria Pork Chops Craft Beer Meatballs,Continental BBQ Finger Food
4.2/5,1427,MG Road,Pub Casual Dining,Salad Beer Nachos Chicken Wings Onion Rings Chilli Paneer Roti,Continental Chinese Finger Food North Indian
4.4/5,3656,Lavelle Road,Casual Dining Irani Cafee,Pancakes Cocktails Berry Pulao Kanda Bhajiya Brownie Chocolate Crispy Okra Kulfi,Parsi North Indian
4.4/5,2041,Lavelle Road,Casual Dining Bar,Gnocchi Cocktails Pizza Salads Creme Brulee Pasta Sangria,Healthy Food Mediterranean Desserts Italian Pizza Salad Kebab
4.3/5,447,Residency Road,Microbrewery Casual Dining,Craft Beer Stout Cocktails Chicken Wings Brewed Beer Mysore Pak Cheesecake,Modern Indian
4.3/5,1030,Lavelle Road,Lounge,Nachos Cocktails Tacos Prawn Taquitos Churros Chimichangas Enchiladas,Mexican Tex-Mex
4.3/5,596,Infantry Road,Casual Dining Bar,Cocktails Stir Fried Noodles Cheesecake Jasmine Rice Kung Pao Vegetables Veg Sushi Salad,Asian Japanese Thai Malaysian Vietnamese Korean Chinese
4.4/5,488,St. Marks Road,Bar Casual Dining,Roti Cocktails Chicken Biryani Paratha Dahi Ke Kabab Jalebi Chicken Tikka,Modern Indian
4.3/5,2658,Brigade Road,Bar Casual Dining,Bbq Pizza Pasta Sangria Cocktails Mocktails Virgin Mojito Potato Wedges,Continental North Indian
4.2/5,240,Brigade Road,Pub,Cocktails Beer,American North Indian Chinese
4.4/5,113,Lavelle Road,Casual Dining Bar,Cocktails Pasta Peri Peri Chicken Burger Brownie Jalapeno Poppers Mocktails Basil Pesto,North Indian Chinese Continental Italian
4.3/5,286,St. Marks Road,Bar Casual Dining,Cocktails Peri Peri Wings Brownie Burgers Mezze Platter Pizza Fries,Mediterranean Italian Asian
4.2/5,2272,St. Marks Road,Casual Dining Bar,Mocktails Cocktails Pizza Butter Chicken Burger Paan Ice Cream Sangria Margarita,European North Indian Mediterranean Asian Salad
4.2/5,1428,Ulsoor,Pub,Beer Mocktails Cocktails Margherita Pizza Supreme Pizza Fish Chilli Margarita,Finger Food Salad Chinese Continental
4.2/5,210,MG Road,Pub Casual Dining,Pizza Fish Cocktails Pasta Alfredo Brownie Chocolate Biryani Rumali Roti,Continental Finger Food Pizza North Indian
4.3/5,474,Residency Road,Lounge,Paneer Roll Cocktails Wine Fiery Chicken Mexican Platter Dragon Chicken Paneer Tikka,Finger Food
4.3/5,394,Brigade Road,Bar Casual Dining,Pancakes Cocktails Biryani Draught Beer Long Island Iced Tea Nachos Mocktails,Finger Food Continental Pizza
4.2/5,538,MG Road,Casual Dining Pub,Pizza Nachos Draught Beer Pasta Potli Biryani Mojito Long Island Iced Tea,North Indian Pizza Chinese
4.1/5,552,Brigade Road,Pub Casual Dining,Fried Rice Draught Beer Beef Chilli Chicken Curry Fish Fingers French Fries,Finger Food
4.0/5,949,Brigade Road,Pub,Beer Manchurian Kabab Platter Chips Lager Chilli Chicken Sandwiches,North Indian Chinese
3.9/5,378,Residency Road,Bar,Masala Peanuts Beer Chicken Lollipop Pepper Chicken Chilli Chicken French Fries Egg Bhurji,North Indian Chinese Fast Food
4.1/5,608,MG Road,Club,Cocktails Paneer Tikka Beer,Continental
4.1/5,93,Residency Road,Pub,Cocktails Pizza Fries Wings Mango Phirni Fish Grill,Continental Chinese Fast Food
4.2/5,38,Richmond Road,Bar,Cocktails Dal Makhani Paneer Tikka Butter Chicken Garlic Naan Tequila Fish,Finger Food Mediterranean North Indian
4.1/5,1543,Lavelle Road,Pub,Beer Cocktails Beef Steak Beef Chilli Nachos Pasta Pizza,Continental Steak
4.0/5,1205,Brigade Road,Bar Quick Bites,Cocktails Pizza Murgh Platter Draught Beer Chicken Wings Veg Platter Fries,Continental Chinese
3.8/5,617,MG Road,Lounge,Fish Fingers,North Indian Chinese Mediterranean
2.0/5,396,Brigade Road,Lounge,Dance Floor Dj,Finger Food
3.9/5,190,St. Marks Road,Bar,Wine Beer Chicken Pakora Masala Corn Pakoda Garlic Chicken French Fries,Finger Food
2.7/5,402,MG Road,Pub,Tandoori Chicken Onion Rings Masala Peanuts Draught Beer Panneer Butter Masala Cocktails,North Indian Chinese
3.9/5,234,Langford Town,Bar Casual Dining,Cocktails Pizza French Fries,Italian North Indian Continental
3.7/5,294,Residency Road,Pub,Beer Pepper Chicken Cocktails Masala Peanuts French Fries,North Indian Continental
4.0/5,93,Residency Road,Lounge,Decor,Finger Food
4.0/5,62,Ulsoor,Lounge,Pool Table,Finger Food
3.9/5,72,Lavelle Road,Lounge,Cocktails Pizza,Spanish
4.0/5,195,MG Road,Lounge Bar,Cocktails Mai Thai Pizza Lemon Basil Chicken,North Indian Mediterranean Chinese
3.8/5,108,Ulsoor,Bar,Pepper Prawns Fries Chicken Biryani,North Indian Chinese
4.0/5,97,Ulsoor,Lounge,Cocktails,Finger Food Continental Chinese
4.2/5,258,MG Road,Casual Dining Bar,Cocktails Tom Yum Soup Lobster Bisque Lobster Risotto Pulled Pork Lamb Asparagus Risotto,Thai Continental North Indian
